Year,Motivation,Laureate ID,Laureate Type,Full Name,Birth Country,Birth Year,Age,Sex,Organization Name,Chemistry,Economics,Literature,Medicine,Peace,Physics,Share 1/1,Share 1/2,Share 1/3,Share 1/4
1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",160,0,Jacobus Henricus van 't Hoff,Netherlands,1852.0,49.0,0.0,Berlin University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",569,0,Sully Prudhomme,France,1839.0,62.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",293,0,Emil Adolf von Behring,Prussia (Poland),1854.0,47.0,0.0,Marburg University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1901,,462,0,Jean Henry Dunant,Switzerland,1828.0,73.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1901,,463,0,Frédéric Passy,France,1822.0,79.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1,0,Wilhelm Conrad Röntgen,Prussia (Germany),1845.0,56.0,0.0,Munich University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",161,0,Hermann Emil Fischer,Prussia (Germany),1852.0,50.0,0.0,Berlin University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",571,0,Christian Matthias Theodor Mommsen,Schleswig (Germany),1817.0,85.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",294,0,Ronald Ross,India,1857.0,45.0,0.0,University College,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1902,,464,0,Élie Ducommun,Switzerland,1833.0,69.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1902,,465,0,Charles Albert Gobat,Switzerland,1843.0,59.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2,0,Hendrik Antoon Lorentz,Netherlands,1853.0,49.0,0.0,Leiden University,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",3,0,Pieter Zeeman,Netherlands,1865.0,37.0,0.0,Amsterdam University,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",162,0,Svante August Arrhenius,Sweden,1859.0,44.0,0.0,Stockholm University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",572,0,Bjørnstjerne Martinus Bjørnson,Norway,1832.0,71.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",295,0,Niels Ryberg Finsen,Faroe Islands (Denmark),1860.0,43.0,0.0,Finsen Medical Light Institute,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1903,,466,0,William Randal Cremer,United Kingdom,1828.0,75.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",4,0,Antoine Henri Becquerel,France,1852.0,51.0,0.0,École Polytechnique,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",5,0,Pierre Curie,France,1859.0,44.0,0.0,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",6,0,"Marie Curie, née Sklodowska",Russian Empire (Poland),1867.0,36.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",163,0,Sir William Ramsay,Scotland,1852.0,52.0,0.0,University College,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",573,0,Frédéric Mistral,France,1830.0,74.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",574,0,José Echegaray y Eizaguirre,Spain,1832.0,72.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1904,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",296,0,Ivan Petrovich Pavlov,Russia,1849.0,55.0,0.0,Military Medical Academy,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",8,0,Lord Rayleigh (John William Strutt),United Kingdom,1842.0,62.0,0.0,Royal Institution of Great Britain,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",164,0,Johann Friedrich Wilhelm Adolf von Baeyer,Prussia (Germany),1835.0,70.0,0.0,Munich University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1905,"""because of his outstanding merits as an epic writer""",575,0,Henryk Sienkiewicz,Poland,1846.0,59.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1905,"""for his investigations and discoveries in relation to tuberculosis""",297,0,Robert Koch,Germany,1843.0,62.0,0.0,Institute for Infectious Diseases,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1905,,468,0,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",Austrian Empire (Czech Republic),1843.0,62.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1905,"""for his work on cathode rays""",9,0,Philipp Eduard Anton von Lenard,Hungary (Slovakia),1862.0,43.0,0.0,Kiel University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",165,0,Henri Moissan,France,1852.0,54.0,0.0,Sorbonne University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",576,0,Giosuè Carducci,Tuscany (Italy),1835.0,71.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1906,"""in recognition of their work on the structure of the nervous system""",298,0,Camillo Golgi,Italy,1843.0,63.0,0.0,Pavia University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1906,"""in recognition of their work on the structure of the nervous system""",299,0,Santiago Ramón y Cajal,Spain,1852.0,54.0,0.0,Madrid University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1906,,470,0,Theodore Roosevelt,United States of America,1858.0,48.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",10,0,Joseph John Thomson,United Kingdom,1856.0,50.0,0.0,University of Cambridge,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
